,SDATE,HOLIDAY,CELEBRATION,STOREID,PRODUCTID,LOW_TEMP,HIGH_TEMP,SKY,ENTRY,EXIT,ONSALE,COVID19,TARGET
101,2019/04/12,N,0,12,141691,17℃,21℃,阴~小雨,56236,79503,Y,0,19.434
102,2019/04/13,Y,週六,12,141691,20℃,25℃,阴~小雨,81375,91774,Y,0,28.629
103,2019/04/14,Y,週日,12,141691,18℃,23℃,小雨,81834,95806,Y,0,37.889
104,2019/04/15,N,0,12,141691,19℃,22℃,小雨,71111,78547,Y,0,29.998
105,2019/04/16,N,0,12,141691,19℃,22℃,小雨,69249,78077,Y,0,18.101
106,2019/04/17,N,0,12,141691,19℃,23℃,多云,76440,92445,Y,0,23.905
107,2019/04/18,N,0,12,141691,21℃,25℃,阴,78434,88998,Y,0,17.474
108,2019/04/19,N,0,12,141691,21℃,25℃,中雨~大雨,83039,64673,Y,0,17.471
109,2019/04/20,Y,週六,12,141691,22℃,25℃,小雨,87430,74440,Y,0,35.82
110,2019/04/21,Y,週日,12,141691,22℃,25℃,小雨,107353,90761,Y,0,31.66
111,2019/04/22,N,0,12,141691,22℃,26℃,小雨~阴,89970,83713,Y,0,18.881
112,2019/04/23,N,0,12,141691,22℃,28℃,多云,79872,74347,Y,0,16.616
113,2019/04/24,N,0,12,141691,22℃,28℃,阴,76099,74452,Y,0,18.367
114,2019/04/25,N,0,12,141691,22℃,28℃,多云~小雨,79922,75935,Y,0,17.719
115,2019/04/26,N,0,12,141691,21℃,26℃,小雨,88215,83344,Y,0,16.258
116,2019/04/27,Y,週六,12,141691,21℃,25℃,小雨~阴,88787,76072,Y,0,37.78
117,2019/04/28,Y,週日,12,141691,22℃,26℃,小雨~多云,90238,84520,Y,0,32.652
118,2019/04/29,N,0,12,141691,22℃,26℃,多云~阴,85470,86863,Y,0,20.109
119,2019/04/30,N,0,12,141691,21℃,28℃,小雨~大雨,81283,79527,Y,0,19.694
120,2019/05/01,N,勞動節,12,141691,19℃,22℃,小雨~多云,81767,77208,Y,0,30.498
121,2019/05/02,N,0,12,141691,19℃,22℃,中雨~小雨,83505,83337,Y,0,13.979
122,2019/05/03,N,0,12,141691,20℃,23℃,阴~小雨,89830,86939,Y,0,18.569
123,2019/05/04,Y,週六,12,141691,21℃,25℃,小雨~阴,91223,93135,Y,0,24.932
124,2019/05/05,Y,週日,12,141691,22℃,25℃,阴~小雨,93642,96277,Y,0,35.485
125,2019/05/06,N,0,12,141691,20℃,23℃,小雨~中雨,84468,84820,Y,0,21.029
126,2019/05/07,N,0,12,141691,20℃,22℃,小雨,88119,82152,Y,0,57.288
